

x(m), Y
-9.00747e-06, 0.0159242
-8.97748e-06, 0.0167345
-8.94748e-06, 0.0176589
-8.91749e-06, 0.0186907
-8.88749e-06, 0.0198195
-8.8575e-06, 0.0210313
-8.82751e-06, 0.0223086
-8.79751e-06, 0.023631
-8.76752e-06, 0.024975
-8.73753e-06, 0.0263159
-8.70753e-06, 0.0276284
-8.67754e-06, 0.0288882
-8.64754e-06, 0.0300738
-8.61755e-06, 0.0311686
-8.58756e-06, 0.0321621
-8.55756e-06, 0.0330523
-8.52757e-06, 0.0338466
-8.49758e-06, 0.0345627
-8.46758e-06, 0.0352282
-8.43759e-06, 0.0358795
-8.40759e-06, 0.0365585
-8.3776e-06, 0.0373091
-8.34761e-06, 0.0381712
-8.31761e-06, 0.0391759
-8.28762e-06, 0.0403402
-8.25763e-06, 0.0416645
-8.22763e-06, 0.0431318
-8.19764e-06, 0.0447096
-8.16764e-06, 0.0463542
-8.13765e-06, 0.0480144
-8.10766e-06, 0.0496375
-8.07766e-06, 0.0511733
-8.04767e-06, 0.0525778
-8.01768e-06, 0.0538161
-7.98768e-06, 0.0548644
-7.95769e-06, 0.055711
-7.92769e-06, 0.0563561
-7.8977e-06, 0.0568116
-7.86771e-06, 0.0570992
-7.83771e-06, 0.0572487
-7.80772e-06, 0.0572954
-7.77773e-06, 0.057277
-7.74773e-06, 0.0572305
-7.71774e-06, 0.0571898
-7.68774e-06, 0.0571831
-7.65775e-06, 0.0572312
-7.62776e-06, 0.057347
-7.59776e-06, 0.0575353
-7.56777e-06, 0.0577941
-7.53778e-06, 0.0581156
-7.50778e-06, 0.0584874
-7.47779e-06, 0.058894
-7.44779e-06, 0.0593175
-7.4178e-06, 0.059738
-7.38781e-06, 0.0601338
-7.35781e-06, 0.0604811
-7.32782e-06, 0.0607545
-7.29783e-06, 0.060927
-7.26783e-06, 0.0609707
-7.23784e-06, 0.0608579
-7.20784e-06, 0.0605629
-7.17785e-06, 0.0600639
-7.14786e-06, 0.0593448
-7.11786e-06, 0.0583978
-7.08787e-06, 0.0572251
-7.05788e-06, 0.0558408
-7.02788e-06, 0.0542717
-6.99789e-06, 0.0525574
-6.96789e-06, 0.0507501
-6.9379e-06, 0.0489118
-6.90791e-06, 0.0471107
-6.87791e-06, 0.0454155
-6.84792e-06, 0.0438885
-6.81793e-06, 0.0425769
-6.78793e-06, 0.0415053
-6.75794e-06, 0.040671
-6.72794e-06, 0.0400426
-6.69795e-06, 0.0395643
-6.66796e-06, 0.0391634
-6.63796e-06, 0.0387598
-6.60797e-06, 0.0382752
-6.57798e-06, 0.0376405
-6.54798e-06, 0.0368011
-6.51799e-06, 0.0357195
-6.48799e-06, 0.034377
-6.458e-06, 0.0327731
-6.42801e-06, 0.0309254
-6.39801e-06, 0.0288677
-6.36802e-06, 0.0266492
-6.33803e-06, 0.0243329
-6.30803e-06, 0.0219952
-6.27804e-06, 0.0197248
-6.24804e-06, 0.0176218
-6.21805e-06, 0.0157936
-6.18806e-06, 0.0143442
-6.15806e-06, 0.0133504
-6.12807e-06, 0.0128326
-6.09808e-06, 0.0127369
-6.06808e-06, 0.012949
-6.03809e-06, 0.0133328
-6.00809e-06, 0.0137637
-5.9781e-06, 0.0141453
-5.94811e-06, 0.0144102
-5.91811e-06, 0.0145168
-5.88812e-06, 0.0144435
-5.85813e-06, 0.0141855
-5.82813e-06, 0.0137519
-5.79814e-06, 0.0131656
-5.76814e-06, 0.012464
-5.73815e-06, 0.0117008
-5.70816e-06, 0.010949
-5.67816e-06, 0.0103011
-5.64817e-06, 0.00986141
-5.61818e-06, 0.0097252
-5.58818e-06, 0.00994452
-5.55819e-06, 0.0105055
-5.52819e-06, 0.0113356
-5.4982e-06, 0.012334
-5.46821e-06, 0.0133985
-5.43821e-06, 0.0144401
-5.40822e-06, 0.0153871
-5.37823e-06, 0.0161856
-5.34823e-06, 0.0167993
-5.31824e-06, 0.0172099
-5.28824e-06, 0.0174173
-5.25825e-06, 0.017441
-5.22826e-06, 0.0173207
-5.19826e-06, 0.0171163
-5.16827e-06, 0.0169048
-5.13828e-06, 0.0167738
-5.10828e-06, 0.016808
-5.07829e-06, 0.0170723
-5.04829e-06, 0.0175956
-5.0183e-06, 0.0183628
-4.98831e-06, 0.0193204
-4.95831e-06, 0.0203898
-4.92832e-06, 0.0214825
-4.89833e-06, 0.0225125
-4.86833e-06, 0.0234039
-4.83834e-06, 0.0240952
-4.80834e-06, 0.0245417
-4.77835e-06, 0.0247164
-4.74836e-06, 0.0246105
-4.71836e-06, 0.0242337
-4.68837e-06, 0.0236136
-4.65838e-06, 0.022795
-4.62838e-06, 0.0218387
-4.59839e-06, 0.0208193
-4.56839e-06, 0.0198205
-4.5384e-06, 0.018928
-4.50841e-06, 0.0182183
-4.47841e-06, 0.0177457
-4.44842e-06, 0.0175301
-4.41843e-06, 0.0175525
-4.38843e-06, 0.0177615
-4.35844e-06, 0.0180869
-4.32845e-06, 0.0184552
-4.29845e-06, 0.0188011
-4.26846e-06, 0.0190746
-4.23846e-06, 0.0192427
-4.20847e-06, 0.0192895
-4.17848e-06, 0.0192142
-4.14848e-06, 0.0190283
-4.11849e-06, 0.0187526
-4.0885e-06, 0.0184144
-4.0585e-06, 0.0180441
-4.02851e-06, 0.0176725
-3.99851e-06, 0.0173289
-3.96852e-06, 0.0170395
-3.93853e-06, 0.0168265
-3.90853e-06, 0.0167084
-3.87854e-06, 0.0166997
-3.84855e-06, 0.0168119
-3.81855e-06, 0.0170525
-3.78856e-06, 0.0174241
-3.75856e-06, 0.0179236
-3.72857e-06, 0.0185403
-3.69858e-06, 0.0192563
-3.66858e-06, 0.0200468
-3.63859e-06, 0.0208816
-3.6086e-06, 0.0217282
-3.5786e-06, 0.0225541
-3.54861e-06, 0.0233299
-3.51861e-06, 0.024032
-3.48862e-06, 0.024645
-3.45863e-06, 0.0251626
-3.42863e-06, 0.0255891
-3.39864e-06, 0.0259384
-3.36865e-06, 0.0262323
-3.33865e-06, 0.026498
-3.30866e-06, 0.0267635
-3.27866e-06, 0.0270527
-3.24867e-06, 0.0273805
-3.21868e-06, 0.0277487
-3.18868e-06, 0.0281447
-3.15869e-06, 0.0285412
-3.1287e-06, 0.0288998
-3.0987e-06, 0.0291745
-3.06871e-06, 0.0293179
-3.03871e-06, 0.0292854
-3.00872e-06, 0.0290409
-2.97873e-06, 0.0285602
-2.94873e-06, 0.027835
-2.91874e-06, 0.0268757
-2.88875e-06, 0.0257144
-2.85875e-06, 0.0244074
-2.82876e-06, 0.0230372
-2.79876e-06, 0.021713
-2.76877e-06, 0.0205659
-2.73878e-06, 0.0197352
-2.70878e-06, 0.0193403
-2.67879e-06, 0.0194461
-2.6488e-06, 0.0200385
-2.6188e-06, 0.0210303
-2.58881e-06, 0.0222907
-2.55881e-06, 0.0236791
-2.52882e-06, 0.0250674
-2.49883e-06, 0.0263493
-2.46883e-06, 0.0274423
-2.43884e-06, 0.028286
-2.40885e-06, 0.0288392
-2.37885e-06, 0.0290775
-2.34886e-06, 0.0289905
-2.31886e-06, 0.0285791
